6M_Projecoes,5Y_Projecoes
59.58907,59.58907
59.607822,59.607822
59.42351,59.42351
59.111824,59.111824
58.729088,58.729088
58.309963,58.309963
57.87693,57.87693
57.44359,57.44359
57.01882,57.01882
56.606285,56.606285
56.20685,56.20685
55.822292,55.822292
55.452866,55.452866
55.097397,55.097397
54.75505,54.75505
54.425583,54.425583
54.108475,54.108475
53.80363,53.80363
53.50954,53.50954
53.22665,53.22665
52.95418,52.95418
52.69155,52.69155
52.432796,52.432796
52.18352,52.18352
51.942783,51.942783
51.70988,51.70988
51.484318,51.484318
51.265675,51.265675
51.05363,51.05363
50.847885,50.847885
50.64816,50.64816
50.454205,50.454205
50.265785,50.265785
50.08268,50.08268
49.904667,49.904667
49.731556,49.731556
49.563156,49.563156
49.399277,49.399277
49.239746,49.239746
49.084423,49.084423
48.933125,48.933125
48.785713,48.785713
48.642063,48.642063
48.50203,48.50203
48.36548,48.36548
48.232307,48.232307
48.102383,48.102383
47.9756,47.9756
47.85187,47.85187
47.73107,47.73107
47.613125,47.613125
47.497932,47.497932
47.385403,47.385403
47.27547,47.27547
47.168034,47.168034
47.06302,47.06302
46.960373,46.960373
46.86,46.86
46.76184,46.76184
46.665844,46.665844
46.571926,46.571926
46.480038,46.480038
46.39012,46.39012
46.302124,46.302124
46.215984,46.215984
46.131657,46.131657
46.049084,46.049084
45.968224,45.968224
45.889046,45.889046
45.811478,45.811478
45.735493,45.735493
45.66104,45.66104
45.588097,45.588097
45.51661,45.51661
45.44654,45.44654
45.37786,45.37786
45.310528,45.310528
45.24452,45.24452
45.179794,45.179794
45.116325,45.116325
45.054073,45.054073
44.993023,44.993023
44.93313,44.93313
44.874386,44.874386
44.816742,44.816742
44.760185,44.760185
44.70469,44.70469
44.650223,44.650223
44.596775,44.596775
44.54431,44.54431
44.492813,44.492813
44.442257,44.442257
44.392628,44.392628
44.343895,44.343895
44.296043,44.296043
44.249058,44.249058
44.20292,44.20292
44.157604,44.157604
44.1131,44.1131
44.069378,44.069378
44.026436,44.026436
43.984245,43.984245
43.942802,43.942802
43.90208,43.90208
43.862076,43.862076
43.822758,43.822758
43.784126,43.784126
43.746162,43.746162
43.708847,43.708847
43.672173,43.672173
43.63613,43.63613
43.600704,43.600704
43.56588,43.56588
43.531643,43.531643
43.497986,43.497986
43.464893,43.464893
43.432365,43.432365
43.400383,43.400383
43.368923,43.368923
43.337997,43.337997
43.30758,43.30758
43.277676,43.277676
43.24827,43.24827
43.21933,43.21933
43.19088,43.19088
43.162895,43.162895
